"","type","modelnum","variable","value"
"65487","LOBD","0Raw","MBE",3.10341391838623
"65488","LOBD","0Raw","MBE",1.52616628339896
"65489","LOBD","0Raw","MBE",3.79367667219249
"65490","LOBD","0Raw","MBE",4.31700615810725
"65491","LOBD","0Raw","MBE",4.07590599382224
"65492","LOBD","0Raw","MBE",2.43348714746906
"65493","LOBD","0Raw","MBE",2.9989121833394
"65494","LOBD","0Raw","MBE",5.8077529843495
"65495","LOBD","0Raw","MBE",2.76431653082078
"65496","LOBD","0Raw","MBE",2.8632379280167
"65497","LOBD","0Raw","MBE",4.17989825086565
"65498","LOBD","0Raw","MBE",4.6409858388384
"65499","LOBD","0Raw","MBE",5.68260368385481
"65500","LOBD","0Raw","MBE",5.7405009610594
"65501","LOBD","0Raw","MBE",5.86179771154337
"65502","LOBD","0Raw","MBE",3.73065332591822
"65503","LOBD","0Raw","MBE",2.67274081458169
"65504","LOBD","0Raw","MBE",3.11029945988705
"65505","LOBD","0Raw","MBE",2.98403716734131
"65506","LOBD","0Raw","MBE",4.02970550036146
"65507","LOBD","0Raw","MBE",2.99427318635009
"65508","LOBD","0Raw","MBE",3.55788999779175
"65509","LOBD","0Raw","MBE",2.24451256885005
"65510","LOBD","0Raw","MBE",4.46627845344488
"65511","LOBD","0Raw","MBE",5.04518694652136
"65512","LOBD","0Raw","MBE",4.9607671876209
"65513","LOBD","0Raw","MBE",1.93852109693476
"65514","LOBD","0Raw","MBE",4.75755034468854
"65515","LOBD","0Raw","MBE",1.57185956497287
"65516","LOBD","0Raw","MBE",1.67288761528958
"65517","LOBD","0Raw","MBE",3.17107819355419
"65518","LOBD","0Raw","MBE",3.81381880043965
"65519","LOBD","0Raw","MBE",4.78964867655028
"65520","LOBD","0Raw","MBE",5.05418606146669
"65521","LOBD","0Raw","MBE",5.22602677373218
"65522","LOBD","0Raw","MBE",3.04438465708223
"65523","LOBD","0Raw","MBE",1.96686534183976
"65524","LOBD","0Raw","MBE",2.41227297168624
"65525","LOBD","0Raw","MBE",2.34068272072544
"65526","LOBD","0Raw","MBE",3.40863280289396
"65527","LOBD","0Raw","MBE",2.36207760017731
"65528","LOBD","0Raw","MBE",2.99365618228715
"65529","LOBD","0Raw","MBE",1.54297225467052
"65530","LOBD","0Raw","MBE",3.51825540503825
"65531","LOBD","0Raw","MBE",3.90131463098171
"65532","LOBD","0Raw","MBE",3.64028222856079
"65533","LOBD","0Raw","MBE",5.33730921460648
"65534","LOBD","0Raw","MBE",2.20694400475032
"65535","LOBD","0Raw","MBE",2.30759279030757
"65536","LOBD","0Raw","MBE",3.71777487029376
"65537","LOBD","0Raw","MBE",4.26484525743344
"65538","LOBD","0Raw","MBE",5.28224435041571
"65539","LOBD","0Raw","MBE",5.43339046466163
"65540","LOBD","0Raw","MBE",5.57786874758619
"65541","LOBD","0Raw","MBE",3.4149153184746
"65542","LOBD","0Raw","MBE",2.34328414037583
"65543","LOBD","0Raw","MBE",2.78642570272518
"65544","LOBD","0Raw","MBE",2.68511336851986
"65545","LOBD","0Raw","MBE",3.74522684253158
"65546","LOBD","0Raw","MBE",2.70059256672122
"65547","LOBD","0Raw","MBE",3.29786311229797
"65548","LOBD","0Raw","MBE",1.91521506098052
"65549","LOBD","0Raw","MBE",4.03385347145834
"65550","LOBD","0Raw","MBE",4.52702532662843
"65551","LOBD","0Raw","MBE",4.36131519024094
"65552","LOBD","0Raw","MBE",5.39271940967574
"65553","LOBD","0Raw","MBE",5.48751440967482
"65554","LOBD","0Raw","MBE",6.40981257715273
"65555","LOBD","0Raw","MBE",6.471053146983
"65556","LOBD","0Raw","MBE",7.66233445659715
"65557","LOBD","0Raw","MBE",7.26227503687571
"65558","LOBD","0Raw","MBE",7.27184149373056
"65559","LOBD","0Raw","MBE",5.2462360930127
"65560","LOBD","0Raw","MBE",4.22834138145112
"65561","LOBD","0Raw","MBE",4.64994400035433
"65562","LOBD","0Raw","MBE",4.40273406548571
"65563","LOBD","0Raw","MBE",5.40212489578241
"65564","LOBD","0Raw","MBE",4.38839148662284
"65565","LOBD","0Raw","MBE",4.80353716135692
"65566","LOBD","0Raw","MBE",3.78924144291082
"65567","LOBD","0Raw","MBE",6.56300309378584
"65568","LOBD","0Raw","MBE",7.57799108531843
"65569","LOBD","0Raw","MBE",7.88414107603475
"65570","LOBD","0Raw","MBE",1.9392111601681
"65571","LOBD","0Raw","MBE",3.57887522732587
"65572","LOBD","0Raw","MBE",4.20534998072997
"65573","LOBD","0Raw","MBE",5.32274313747822
"65574","LOBD","0Raw","MBE",5.47548772144056
"65575","LOBD","0Raw","MBE",5.62696899583534
"65576","LOBD","0Raw","MBE",3.30066796946885
"65577","LOBD","0Raw","MBE",2.14031258245219
"65578","LOBD","0Raw","MBE",2.62066807835151
"65579","LOBD","0Raw","MBE",2.52604710199215
"65580","LOBD","0Raw","MBE",3.66554960474996
"65581","LOBD","0Raw","MBE",2.54558379031815
"65582","LOBD","0Raw","MBE",3.19795645850831
"65583","LOBD","0Raw","MBE",1.67986842591997
"65584","LOBD","0Raw","MBE",3.93915638265474
"65585","LOBD","0Raw","MBE",4.47725817536233
"65586","LOBD","0Raw","MBE",4.27582791535898
"65587","LOBD","0Raw","MBE",3.67206835202539
"65588","LOBD","0Raw","MBE",4.27937832583407
"65589","LOBD","0Raw","MBE",5.40189866301786
"65590","LOBD","0Raw","MBE",5.53469850377492
"65591","LOBD","0Raw","MBE",5.68136287310346
"65592","LOBD","0Raw","MBE",3.3619104785631
"65593","LOBD","0Raw","MBE",2.20456571525498
"65594","LOBD","0Raw","MBE",2.68369228780364
"65595","LOBD","0Raw","MBE",2.58384426531644
"65596","LOBD","0Raw","MBE",3.72024476453457
"65597","LOBD","0Raw","MBE",2.60228748391703
"65598","LOBD","0Raw","MBE",3.24767129606034
"65599","LOBD","0Raw","MBE",1.74413265251373
"65600","LOBD","0Raw","MBE",4.02560471070475
"65601","LOBD","0Raw","MBE",4.58322728888792
"65602","LOBD","0Raw","MBE",4.40130720877796
"65603","LOBD","0Raw","MBE",5.15584657864473
"65604","LOBD","0Raw","MBE",6.20193585887646
"65605","LOBD","0Raw","MBE",6.14145351815705
"65606","LOBD","0Raw","MBE",6.23103874216171
"65607","LOBD","0Raw","MBE",4.18387943956148
"65608","LOBD","0Raw","MBE",3.16672801282154
"65609","LOBD","0Raw","MBE",3.58742799775993
"65610","LOBD","0Raw","MBE",3.4278299376997
"65611","LOBD","0Raw","MBE",4.4339036741267
"65612","LOBD","0Raw","MBE",3.43031874390576
"65613","LOBD","0Raw","MBE",3.93605418282511
"65614","LOBD","0Raw","MBE",2.7468664419158
"65615","LOBD","0Raw","MBE",5.05974936497391
"65616","LOBD","0Raw","MBE",5.73107499622249
"65617","LOBD","0Raw","MBE",5.75121402773977
"65618","LOBD","0Raw","MBE",6.28849895562126
"65619","LOBD","0Raw","MBE",6.21867279062855
"65620","LOBD","0Raw","MBE",6.29275021276969
"65621","LOBD","0Raw","MBE",4.50835074931353
"65622","LOBD","0Raw","MBE",3.63014786766194
"65623","LOBD","0Raw","MBE",3.99280388177834
"65624","LOBD","0Raw","MBE",3.82498951295251
"65625","LOBD","0Raw","MBE",4.70288626643291
"65626","LOBD","0Raw","MBE",3.82126637960148
"65627","LOBD","0Raw","MBE",4.2365579177943
"65628","LOBD","0Raw","MBE",3.26162412362293
"65629","LOBD","0Raw","MBE",5.33924903963384
"65630","LOBD","0Raw","MBE",5.92662383024872
"65631","LOBD","0Raw","MBE",5.96494917287899
"65632","LOBD","0Raw","MBE",7.02565490960105
"65633","LOBD","0Raw","MBE",7.05001107630157
"65634","LOBD","0Raw","MBE",5.21794925250587
"65635","LOBD","0Raw","MBE",4.30679426696187
"65636","LOBD","0Raw","MBE",4.68358240321999
"65637","LOBD","0Raw","MBE",4.45800128538874
"65638","LOBD","0Raw","MBE",5.36157659223184
"65639","LOBD","0Raw","MBE",4.44416376155974
"65640","LOBD","0Raw","MBE",4.81804752239081
"65641","LOBD","0Raw","MBE",3.9132842014253
"65642","LOBD","0Raw","MBE",6.3448714159719
"65643","LOBD","0Raw","MBE",7.15851123278362
"65644","LOBD","0Raw","MBE",7.3561826405388
"65645","LOBD","0Raw","MBE",6.86879008470383
"65646","LOBD","0Raw","MBE",5.34056048379863
"65647","LOBD","0Raw","MBE",4.59119428193377
"65648","LOBD","0Raw","MBE",4.90038929244974
"65649","LOBD","0Raw","MBE",4.69877323839411
"65650","LOBD","0Raw","MBE",5.45250045670229
"65651","LOBD","0Raw","MBE",4.68399866938298
"65652","LOBD","0Raw","MBE",4.98271742799391
"65653","LOBD","0Raw","MBE",4.26474328312423
"65654","LOBD","0Raw","MBE",6.25598641109805
"65655","LOBD","0Raw","MBE",6.85918298188562
"65656","LOBD","0Raw","MBE",6.97638336978639
"65657","LOBD","0Raw","MBE",5.4544788464183
"65658","LOBD","0Raw","MBE",4.74964899142887
"65659","LOBD","0Raw","MBE",5.04031767661877
"65660","LOBD","0Raw","MBE",4.8415294600077
"65661","LOBD","0Raw","MBE",5.55284252869716
"65662","LOBD","0Raw","MBE",4.82574924574092
"65663","LOBD","0Raw","MBE",5.09884898240078
"65664","LOBD","0Raw","MBE",4.44083385115387
"65665","LOBD","0Raw","MBE",6.3342987201632
"65666","LOBD","0Raw","MBE",6.90039199090518
"65667","LOBD","0Raw","MBE",7.01126297080495
"65668","LOBD","0Raw","MBE",3.07194918498385
"65669","LOBD","0Raw","MBE",3.39229904428773
"65670","LOBD","0Raw","MBE",3.28032719252504
"65671","LOBD","0Raw","MBE",4.06844081014234
"65672","LOBD","0Raw","MBE",3.28419648481603
"65673","LOBD","0Raw","MBE",3.69860510214802
"65674","LOBD","0Raw","MBE",2.75372927665983
"65675","LOBD","0Raw","MBE",4.37723905388787
"65676","LOBD","0Raw","MBE",4.73212126993975
"65677","LOBD","0Raw","MBE",4.65263127056679
"65678","LOBD","0Raw","MBE",2.59603850418754
"65679","LOBD","0Raw","MBE",2.52995552520233
"65680","LOBD","0Raw","MBE",3.35195143741955
"65681","LOBD","0Raw","MBE",2.54392894418489
"65682","LOBD","0Raw","MBE",3.02795834602875
"65683","LOBD","0Raw","MBE",1.94223735864642
"65684","LOBD","0Raw","MBE",3.40711738825709
"65685","LOBD","0Raw","MBE",3.64122316482655
"65686","LOBD","0Raw","MBE",3.4554038721534
"65687","LOBD","0Raw","MBE",2.83880352868086
"65688","LOBD","0Raw","MBE",3.64698094340788
"65689","LOBD","0Raw","MBE",2.84857610647008
"65690","LOBD","0Raw","MBE",3.30381181116158
"65691","LOBD","0Raw","MBE",2.2763276606584
"65692","LOBD","0Raw","MBE",3.80819517655234
"65693","LOBD","0Raw","MBE",4.09322825798804
"65694","LOBD","0Raw","MBE",3.95217051967124
"65695","LOBD","0Raw","MBE",3.52866988825446
"65696","LOBD","0Raw","MBE",2.77337916186776
"65697","LOBD","0Raw","MBE",3.21123378272856
"65698","LOBD","0Raw","MBE",2.22974356631715
"65699","LOBD","0Raw","MBE",3.63842623372372
"65700","LOBD","0Raw","MBE",3.8791388655294
"65701","LOBD","0Raw","MBE",3.7323978848674
"65702","LOBD","0Raw","MBE",3.52923866350637
"65703","LOBD","0Raw","MBE",3.89863026043051
"65704","LOBD","0Raw","MBE",3.05565163031558
"65705","LOBD","0Raw","MBE",4.60087094899734
"65706","LOBD","0Raw","MBE",4.9469147444339
"65707","LOBD","0Raw","MBE",4.89366586450126
"65708","LOBD","0Raw","MBE",3.2153835373736
"65709","LOBD","0Raw","MBE",2.24764674261497
"65710","LOBD","0Raw","MBE",3.63739763260786
"65711","LOBD","0Raw","MBE",3.87360204220643
"65712","LOBD","0Raw","MBE",3.72929362781371
"65713","LOBD","0Raw","MBE",2.75452729497909
"65714","LOBD","0Raw","MBE",4.10523781068571
"65715","LOBD","0Raw","MBE",4.36503339745392
